Product Name,Date of Product Launch,Date of Product Conceptualization,Cost of Product Development,Number of Designs Created,Number of Designs Approved,Number of Defective Products,Total Number of Products Produced,Number of Products Sold,Product Price,Planned Production Quantity,Actual Production Quantity,Time to Market(In days),Product Development Cost,Design Efficiency,Product Quality,Sales Revenue,Master Production Schedule Accuracy,Master Production Schedule Bias per day
Product 1,2022-01-01,2021-04-01,"$100,000",20,15,5,"10,000","8,000",$50,"15,000","10,000",275,"$100,000",0,0,0,0,0
Product 2,2022-03-15,2021-06-15,"$75,000",15,10,3,"8,000","6,500",$60,"10,000","8,000",273,"$75,000",0,0,0,0,0
Product 3,2022-05-01,2021-08-01,"$150,000",30,25,7,"15,000","12,000",$75,"20,000","15,000",273,"$150,000",0,0,0,0,0
Product 4,2022-07-15,2021-10-15,"$50,000",10,8,2,"5,000","4,000",$40,"7,000","5,000",273,"$50,000",0,0,0,0,0
Product 5,2022-09-01,2022-01-01,"$200,000",40,35,10,"20,000","16,000",$80,"25,000","20,000",243,"$200,000",0,0,0,0,0
Product 6,2022-11-15,2022-02-15,"$125,000",25,20,5,"12,000","9,500",$70,"15,000","12,000",273,"$125,000",0,0,0,0,0
Product 7,2023-01-01,2022-04-01,"$100,000",20,18,4,"8,000","6,500",$55,"15,000","18,000",275,"$100,000",0,0,0,0,0
Product 8,2023-03-15,2022-06-15,"$80,000",16,14,3,"6,000","4,500",$65,"8,000","6,000",273,"$80,000",0,0,0,0,0
Product 9,2023-05-01,2022-08-01,"$175,000",35,30,8,"18,000","14,500",$90,"22,000","18,000",273,"$175,000",0,0,0,0,0
Product 1,2024-09-01,2024-01-01,"$200,000",40,35,10,"20,000","16,000",$75,"25,000","20,000",244,"$200,000",0,0,0,0,0
Product 11,2023-09-01,2023-01-01,"$250,000",50,45,12,"25,000","20,000",$100,"30,000","25,000",243,"$250,000",0,0,0,0,0
Product 12,2023-11-15,2023-02-15,"$175,000",35,30,8,"18,000","15,000",$85,"22,000","18,000",273,"$175,000",0,0,0,0,0
Product 13,2024-01-01,2023-04-01,"$100,000",20,18,4,"8,000","6,500",$60,"10,000","8,000",275,"$100,000",0,0,0,0,0
Product 14,2024-03-15,2023-06-15,"$80,000",16,14,3,"6,000","4,500",$70,"8,000","6,000",274,"$80,000",0,0,0,0,0
Product 15,2024-05-01,2023-08-01,"$175,000",35,30,8,"18,000","14,500",$95,"22,000","18,000",274,"$175,000",0,0,0,0,0
Product 16,2024-07-15,2023-10-15,"$50,000",10,8,2,"5,000","4,000",$45,"7,000","5,000",274,"$50,000",0,0,0,0,0
